"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"1179.102.104","0","1","0","1","1","0","0","20190428","20190527"
"1179.102.108","1","1","0","1","1","0","0","20190428","20190527"
"1179.102.112","0","0","1","1","1","0","0","20190428","20190527"
"1179.102.12","1","1","0","0","0","0","0","20190428","20190527"
"1179.102.120","0","1","1","1","1","0","0","20190428","20190527"
"1179.102.124","1","1","1","1","1","0","0","20190428","20190527"
"1179.102.128","0","0","0","0","0","1","0","20190428","20190527"
"1179.102.130","0","0","0","0","0","1","1","20190428","20190527"
"1179.102.16","0","0","1","0","0","0","0","20190428","20190527"
"1179.102.2","0","0","0","0","0","0","1","20190428","20190527"
"1179.102.32","0","0","0","1","0","0","0","20190428","20190527"
"1179.102.36","1","0","0","1","0","0","0","20190428","20190527"
"1179.102.4","1","0","0","0","0","0","0","20190428","20190527"
"1179.102.44","1","1","0","1","0","0","0","20190428","20190527"
"1179.102.48","0","0","1","1","0","0","0","20190428","20190527"
"1179.102.52","1","0","1","1","0","0","0","20190428","20190527"
"1179.102.56","0","1","1","1","0","0","0","20190428","20190527"
"1179.102.60","1","1","1","1","0","0","0","20190428","20190527"
"1179.102.64","0","0","0","0","1","0","0","20190428","20190527"
"1179.102.72","0","1","0","0","1","0","0","20190428","20190527"
"1179.102.8","0","1","0","0","0","0","0","20190428","20190527"
"1179.102.88","0","1","1","0","1","0","0","20190428","20190527"
