"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"APS_1a","SydneyTrains","T8","City Circle to Macarthur via Airport","T8 Airport & South Line","2","","00954C","FFFFFF"
"APS_1b","SydneyTrains","T8","City Circle to Leppington via Airport","T8 Airport & South Line","2","","00954C","FFFFFF"
"APS_1c","SydneyTrains","T8","City Circle to Macarthur via Sydenham","T8 Airport & South Line","2","","00954C","FFFFFF"
"APS_1d","SydneyTrains","T8","City Circle to Macarthur via Sydenham","T8 Airport & South Line","2","","00954C","FFFFFF"
"APS_1e","SydneyTrains","T8","City Circle to Leppington via Sydenham","T8 Airport & South Line","2","","00954C","FFFFFF"
"APS_1f","SydneyTrains","T8","City Circle to Leppington via Sydenham","T8 Airport & South Line","2","","00954C","FFFFFF"
"APS_2a","SydneyTrains","T8","Macarthur to City Circle via Airport","T8 Airport & South Line","2","","00954C","FFFFFF"
"APS_2b","SydneyTrains","T8","Leppington to City Circle via Airport","T8 Airport & South Line","2","","00954C","FFFFFF"
"APS_2c","SydneyTrains","T8","Macarthur to City Circle via Sydenham","T8 Airport & South Line","2","","00954C","FFFFFF"
"APS_2d","SydneyTrains","T8","Macarthur to City Circle via Sydenham","T8 Airport & South Line","2","","00954C","FFFFFF"
"APS_2e","SydneyTrains","T8","Leppington to City Circle via Sydenham","T8 Airport & South Line","2","","00954C","FFFFFF"
"APS_2f","SydneyTrains","T8","Leppington to City Circle via Sydenham","T8 Airport & South Line","2","","00954C","FFFFFF"
"BMT_1","NSWTrains","BMT","Central to Lithgow and Bathurst","Blue Mountains Line","2","","F99D1C","FFFFFF"
"BMT_2","NSWTrains","BMT","Bathurst and Lithgow to Sydney","Blue Mountains Line","2","","F99D1C","FFFFFF"
"BNK_1a","SydneyTrains","T3","City Circle to Lidcombe via Bankstown","T3 Bankstown Line","2","","F37021","FFFFFF"
"BNK_1b","SydneyTrains","T3","City Circle to Lidcombe via Bankstown","T3 Bankstown Line","2","","F37021","FFFFFF"
"BNK_1c","SydneyTrains","T3","Regents Park to Lidcombe","T3 Bankstown Line","2","","F37021","FFFFFF"
"BNK_1d","SydneyTrains","T3","City Circle to Liverpool via Bankstown","T3 Bankstown Line","2","","F37021","FFFFFF"
"BNK_1e","SydneyTrains","T3","City Circle to Liverpool via Bankstown","T3 Bankstown Line","2","","F37021","FFFFFF"
"BNK_1f","SydneyTrains","T3","City Circle to Liverpool via Lidcombe","T3 Bankstown Line","2","","F37021","FFFFFF"
"BNK_1g","SydneyTrains","T3","City Circle to Liverpool via Lidcombe","T3 Bankstown Line","2","","F37021","FFFFFF"
"BNK_1h","SydneyTrains","T3","Lidcombe to Liverpool","T3 Bankstown Line","2","","F37021","FFFFFF"
"BNK_2a","SydneyTrains","T3","Lidcombe to City Circle via Bankstown","T3 Bankstown Line","2","","F37021","FFFFFF"
"BNK_2b","SydneyTrains","T3","Lidcombe to City Circle via Bankstown","T3 Bankstown Line","2","","F37021","FFFFFF"
"BNK_2c","SydneyTrains","T3","Lidcombe to Regents Park","T3 Bankstown Line","2","","F37021","FFFFFF"
"BNK_2d","SydneyTrains","T3","Liverpool to City Circle via Bankstown","T3 Bankstown Line","2","","F37021","FFFFFF"
"BNK_2e","SydneyTrains","T3","Liverpool to City Circle via Bankstown","T3 Bankstown Line","2","","F37021","FFFFFF"
"BNK_2f","SydneyTrains","T3","Liverpool to City Circle via Lidcombe","T3 Bankstown Line","2","","F37021","FFFFFF"
"BNK_2g","SydneyTrains","T3","Liverpool to City Circle via Lidcombe","T3 Bankstown Line","2","","F37021","FFFFFF"
"BNK_2h","SydneyTrains","T3","Liverpool to Lidcombe","T3 Bankstown Line","2","","F37021","FFFFFF"
"CCN_1a","NSWTrains","CCN","Central to Newcastle Interchange via Strathfield","Central Coast & Newcastle Line","2","","D11F2F","FFFFFF"
"CCN_1b","NSWTrains","CCN","Central to Newcastle Interchange via North Shore","Central Coast & Newcastle Line","2","","D11F2F","FFFFFF"
"CCN_1c","NSWTrains","CCN","Central to Newcastle Interchange via Strathfield","Central Coast & Newcastle Line","2","","D11F2F","FFFFFF"
"CCN_2a","NSWTrains","CCN","Newcastle Interchange to Central via Strathfield","Central Coast & Newcastle Line","2","","D11F2F","FFFFFF"
"CCN_2b","NSWTrains","CCN","Newcastle Interchange to Central via North Shore","Central Coast & Newcastle Line","2","","D11F2F","FFFFFF"
"CGF_1","SydneyTrains","T6","Clyde to Carlingford","T6 Carlingford Line","2","","456CAA","FFFFFF"
"CGF_2","SydneyTrains","T6","Carlingford to Clyde","T6 Carlingford Line","2","","456CAA","FFFFFF"
"CMB_1a","SydneyTrains","T5","Richmond to Leppington","T5 Cumberland Line","2","","C4258F","FFFFFF"
"CMB_1b","SydneyTrains","T5","Emu Plains to Leppington","T5 Cumberland Line","2","","C4258F","FFFFFF"
"CMB_1c","SydneyTrains","T5","Richmond to Campbelltown","T5 Cumberland Line","2","","C4258F","FFFFFF"
"CMB_1d","SydneyTrains","T5","Emu Plains to Campbelltown","T5 Cumberland Line","2","","C4258F","FFFFFF"
"CMB_2a","SydneyTrains","T5","Leppington to Richmond","T5 Cumberland Line","2","","C4258F","FFFFFF"
