"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"26401","26401","Albury Station","","-36.0840679993","146.924691003","","","1","","","0"
"264086","264086","Albury Station Platform 1","","-36.083941","146.924558","","","0","26401","","0"
"233610","233610","Aberdeen Station","","-32.1671035802","150.892052189","","","1","","","1"
"233621","233621","Aberdeen Station Platform 1","","-32.166969","150.892016","","","0","233610","","0"
"222020","222020","Allawah Station","","-33.9695839058","151.11432998","","","1","","","1"
"2220351","2220351","Allawah Station Platform 1","","-33.96951","151.114268","","","0","222020","","0"
"2220352","2220352","Allawah Station Platform 2","","-33.969553","151.114249","","","0","222020","","0"
"2220353","2220353","Allawah Station Platform 3","","-33.969678","151.114212","","","0","222020","","0"
"2220354","2220354","Allawah Station Platform 4","","-33.969722","151.114197","","","0","222020","","0"
"252710","252710","Albion Park Station","","-34.5626467141","150.798499742","","","1","","","1"
"2527161","2527161","Albion Park Station Platform 1","","-34.562946","150.798688","","","0","252710","","0"
"2527162","2527162","Albion Park Station Platform 2","","-34.563092","150.798981","","","0","252710","","0"
"23501","23501","Armidale Station","","-30.515372995","151.651753003","","","1","","","0"
"235044","235044","Armidale Station Platform 1","","-30.515208","151.651701","","","0","23501","","0"
"220520","220520","Arncliffe Station","","-33.9364561946","151.147299468","","","1","","","0"
"220591","220591","Arncliffe Station Platform 1","","-33.936473","151.147101","","","0","220520","","0"
"220592","220592","Arncliffe Station Platform 2","","-33.936501","151.147222","","","0","220520","","0"
"220593","220593","Arncliffe Station Platform 3","","-33.936573","151.147345","","","0","220520","","0"
"220594","220594","Arncliffe Station Platform 4","","-33.936605","151.147438","","","0","220520","","0"
"206410","206410","Artarmon Station","","-33.8089026435","151.185293878","","","1","","","0"
"206451","206451","Artarmon Station Platform 1","","-33.80857","151.18478","","","0","206410","","0"
"206452","206452","Artarmon Station Platform 2","","-33.808605","151.184744","","","0","206410","","0"
"213110","213110","Ashfield Station","","-33.8875506079","151.125504163","","","1","","","1"
"2131121","2131121","Ashfield Station Platform 1","","-33.887518","151.125785","","","0","213110","","0"
"2131122","2131122","Ashfield Station Platform 2","","-33.887583","151.125758","","","0","213110","","0"
"2131123","2131123","Ashfield Station Platform 3","","-33.887643","151.125733","","","0","213110","","0"
"2131124","2131124","Ashfield Station Platform 4","","-33.887709","151.125694","","","0","213110","","0"
"2131125","2131125","Ashfield Station Platform 5","","-33.887762","151.125544","","","0","213110","","0"
"207730","207730","Asquith Station","","-33.6887699577","151.108025195","","","1","","","0"
"2077291","2077291","Asquith Station Platform 1","","-33.688615","151.108205","","","0","207730","","0"
"2077292","2077292","Asquith Station Platform 2","","-33.688551","151.108101","","","0","207730","","0"
"228920","228920","Adamstown Station","","-32.9337298819","151.720080668","","","1","","","1"
"2289331","2289331","Adamstown Station Platform 1","","-32.933687","151.72023","","","0","228920","","0"
"2289332","2289332","Adamstown Station Platform 2","","-32.933602","151.720183","","","0","228920","","0"
"214410","214410","Auburn Station","","-33.8492696009","151.032866977","","","1","","","1"
"2144241","2144241","Auburn Station Platform 1","","-33.849233","151.032966","","","0","214410","","0"
