"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible"
"BNK_2a","1179.102.124","1--A.1179.102.124.B.8.56100397","City Circle via Museum","","1","187","BNK_2a","0"
"RTTA_REV","1179.102.130","1--A.1179.102.130.B.8.56100399","Empty Train","","0","","RTTA_REV","0"
"IWL_1c","1179.102.124","1--B.1179.102.124.B.8.56100396","Leppington","","0","187","IWL_1c","0"
"BNK_2d","1179.102.130","1--B.1179.102.130.B.8.56100398","City Circle via Town Hall","","1","9138","BNK_2d","0"
"IWL_2d","1179.102.124","1--C.1179.102.124.B.8.56100400","City Circle via Town Hall","","1","187","IWL_2d","0"
"BNK_1a","1179.102.130","1--C.1179.102.130.B.8.56100401","Lidcombe","","0","9138","BNK_1a","0"
"BNK_1a","1179.102.124","1--D.1179.102.124.B.8.56100402","Lidcombe","","0","187","BNK_1a","0"
"BNK_1c","1179.102.130","1--D.1179.102.130.B.8.56100403","Lidcombe","","1","9138","BNK_1c","0"
"BNK_1c","1179.102.124","1--E.1179.102.124.B.8.56100404","Lidcombe","","1","187","BNK_1c","0"
"BNK_2c","1179.102.130","1--E.1179.102.130.B.8.56100405","City Circle via Bankstown","","0","9138","BNK_2c","0"
"BNK_2c","1179.102.124","1--F.1179.102.124.B.8.56100406","City Circle via Bankstown","","0","187","BNK_2c","0"
"BNK_2a","1179.102.130","1--F.1179.102.130.B.8.56100407","City Circle via Town Hall","","1","9138","BNK_2a","0"
"BNK_2a","1179.102.124","1--G.1179.102.124.B.8.56100408","City Circle via Town Hall","","1","187","BNK_2a","0"
"BNK_1d","1179.102.130","1--G.1179.102.130.B.8.56100409","Liverpool","","0","9138","BNK_1d","0"
"APS_1a","1179.102.124","1--H.1179.102.124.B.8.56100410","Macarthur","","0","187","APS_1a","0"
"BNK_2d","1179.102.130","1--H.1179.102.130.B.8.56100411","City Circle via Town Hall","","1","9138","BNK_2d","0"
"APS_2a","1179.102.124","1--J.1179.102.124.B.8.56100412","City Circle via Museum","","1","187","APS_2a","0"
"BNK_1a","1179.102.130","1--J.1179.102.130.B.8.56100413","Lidcombe","","0","9138","BNK_1a","0"
"IWL_1c","1179.102.124","1--K.1179.102.124.B.8.56100414","Leppington","","0","187","IWL_1c","0"
"BNK_1c","1179.102.130","1--K.1179.102.130.B.8.56100415","Lidcombe","","1","9138","BNK_1c","0"
"IWL_2d","1179.102.124","1--L.1179.102.124.B.8.56100416","City Circle via Town Hall","","1","187","IWL_2d","0"
"BNK_2c","1179.102.130","1--L.1179.102.130.B.8.56100417","City Circle via Bankstown","","0","9138","BNK_2c","0"
"BNK_1a","1179.102.124","1--M.1179.102.124.B.8.56100418","Lidcombe","","0","187","BNK_1a","0"
"BNK_2a","1179.102.130","1--M.1179.102.130.B.8.56100419","City Circle via Town Hall","","1","9138","BNK_2a","0"
"BNK_1c","1179.102.124","1--N.1179.102.124.B.8.56100420","Lidcombe","","1","187","BNK_1c","0"
"BNK_1d","1179.102.130","1--N.1179.102.130.B.8.56100421","Liverpool","","0","9138","BNK_1d","0"
"BNK_2c","1179.102.124","1--P.1179.102.124.B.8.56100422","City Circle via Bankstown","","0","187","BNK_2c","0"
